"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"TTLL10-AS1",1.16826385001206,0.331906550003638,0.0601631463572544,-0.0150510978554508,"negative"
"TTLL10",1.35747163664548,0.25710447610456,0.0692323651820782,-0.0508064169047733,"negative"
"TNFRSF18",3.35212188899098,0.0141483147000116,0.155175584427163,-0.0241469540691749,"negative"
"TNFRSF4",0.474483149211537,0.754306957046644,0.0253402534761829,-0.0259697529262168,"negative"
"SDF4",0.493999646804908,0.740137158066634,0.0263550819522724,0.0271012169933683,"positive"
"B3GALT6",1.77989297438577,0.142083796294747,0.0888618314966482,0.0239512169664577,"positive"
"C1QTNF12",1.66882820438056,0.166448927112382,0.0837814447344624,-0.116780185936562,"negative"
"UBE2J2",0.9755312986323,0.426279074497229,0.0507414481024875,0.0404778084477792,"positive"
"LINC01786",2.37177023743712,0.0601217617604689,0.115012931001014,-0.08111574068137,"negative"
"SCNN1D",2.48893899434471,0.0506065028805439,0.120012841304148,-0.01896181212444,"negative"
"ACAP3",1.95814041105964,0.109934098058245,0.0968985948844643,0.0501601977298231,"positive"
"MIR6726",0.73358967762277,0.571991229685808,0.0386433593477582,0.0606008584660981,"positive"
"SNORD167",1.10204990817386,0.362168628322999,0.0569474507043504,0.0861599861012756,"positive"
"PUSL1",3.10015367381434,0.0205256964858614,0.14520521590515,-0.0338280093864213,"negative"
"INTS11",0.79454379457918,0.532537186106818,0.0417202849881517,0.00864973310095163,"positive"
"MIR6727",0.109100668409588,0.978982765150847,0.00594259328820593,-0.00390919645131134,"negative"
"CPTP",0.0760558189369391,0.989310364505888,0.00415014663757316,0.00774752805965672,"positive"
"TAS1R3",1.6029120837948,0.182715964791816,0.0807393936481087,-0.0550205893213777,"negative"
"DVL1",1.03646797406944,0.394355595764443,0.0537406836473616,-0.0291861673985993,"negative"
"MIR6808",1.7616740632163,0.145834349162069,0.0880323184183006,0.0434500274872714,"positive"
"MXRA8",1.18764839072932,0.323462241260041,0.0611004153823341,0.0177298372987442,"positive"
"AURKAIP1",0.628893505130686,0.643426368791959,0.0333119896544664,0.0817460299257462,"positive"
"CCNL2",6.45992033378446,0.00016566166135554,0.261430237189077,0.0672127282319239,"positive"
"MRPL20-AS1",2.64498027193702,0.0402091663029326,0.126584482852533,0.00244066391174531,"positive"
"MRPL20",0.837827449166321,0.505600211755972,0.0438932849428557,0.0175705394303348,"positive"
"ANKRD65",1.41782731458894,0.236614355466194,0.0720886599170639,0.0198471423864312,"positive"
"ANKRD65-AS1",0.575079741290436,0.68157846483089,0.0305485952353801,0.0250535894716461,"positive"
"LINC01770",1.58462373093023,0.18748573881867,0.0798917969116377,0.111082717212254,"positive"
"LOC107985729",0.930795425976297,0.450961463102439,0.048527467464448,0.0644595010677287,"positive"
"VWA1",1.82411454489074,0.133358248623944,0.0908689915468781,0.122523362480533,"positive"
"ATAD3C",0.813603210494809,0.520561870067337,0.04267835421831,-0.0664453421740463,"negative"
"ATAD3B",0.820558461527886,0.516236193813614,0.0430275003840734,0.00827125767041122,"positive"
"ATAD3A",0.361348796889236,0.835334536046205,0.0194155082918887,0.0484879041628399,"positive"
"TMEM240",0.708506017726011,0.588711452148401,0.037371405587738,0.0882821665254251,"positive"
"SSU72",0.696097476853803,0.597080449588793,0.036740942439688,0.0438684614744289,"positive"
"FNDC10",2.22701524844849,0.074333640957385,0.108756829129051,-0.0174176415078998,"negative"
"LOC105378586",0.246987696599678,0.910604296680717,0.013352860511719,0.0101099724833465,"positive"
"MIB2",3.42768015482432,0.0126562523393566,0.158120247662271,-0.10543679725287,"negative"
"MMP23B",4.56656351160552,0.00239503174496702,0.200142475850176,-0.0496852346546987,"negative"
"CDK11B",1.85192367594928,0.128135477515622,0.0921266892563615,0.0270741286762548,"positive"
"SLC35E2B",1.83081872259105,0.1320808629716,0.0911725138244174,-0.0434755000600993,"negative"
"MMP23A",4.13507039337636,0.00448217487199992,0.184724475764879,-0.0731063635086729,"negative"
"CDK11A",1.37688298097515,0.250346747516034,0.0701529113058757,-0.0578379596996943,"negative"
"SLC35E2A",0.680030988223194,0.608008456709779,0.0359233954052297,-0.0215674431969729,"negative"
"LOC112268218",0.705607228305665,0.590660890675734,0.0372241954481949,0.069447978376861,"positive"
"NADK",0.987376727629937,0.419920305832044,0.0513259547603393,0.129123835034768,"positive"
"GNB1",11.0853021107851,4.42982977390103e-07,0.377882663997164,0.0942888620190875,"positive"
"GNB1-DT",1.8345824928979,0.131368858821017,0.0913428244548588,-0.174456821140355,"negative"
"CALML6",2.22405954790765,0.074655714522015,0.108628166422176,0.0430077528390549,"positive"
"TMEM52",1.02489557075579,0.400267884521509,0.0531725615318392,0.0277507171230676,"positive"
"CFAP74",0.722374999637182,0.579433354529459,0.0380750960093818,0.0848970898207181,"positive"
"LOC107984872",0.944767071859906,0.443139527699865,0.0492200331644015,0.0118717521351357,"positive"
"LOC105378589",0.991246678748007,0.417858914012884,0.0515167595581445,-0.116235178677126,"negative"
"GABRD",0.830649412367434,0.510003052712768,0.043533602783406,0.0819155657107034,"positive"
"LOC105378590",1.02772371364316,0.398816512611718,0.0533114660687779,0.137001850320517,"positive"
"PRKCZ-DT",0.81731075392146,0.518253061062511,0.0428645006351181,-0.0962009711439689,"negative"
"PRKCZ",0.655155289935274,0.625122352528102,0.0346548483674221,-0.00782035773784669,"negative"
"PRKCZ-AS1",1.78850176911554,0.140343647902364,0.0892532680198718,-0.0297245253253317,"negative"
"FAAP20",1.1180001810485,0.354675827257603,0.0577240897665037,-0.0508434631506176,"negative"
"LOC112268219",0.23838093877521,0.915765902004212,0.0128935540415688,-0.0466947880048448,"negative"
"LOC105378593",5.14107276107699,0.00104973508843394,0.219787814504677,-0.105299077955773,"negative"
"SKI",1.07038641003195,0.377430151701805,0.0554019152265069,-0.0466775330922236,"negative"
"MORN1",7.10982252752692,6.84314952971618e-05,0.28035773987809,-0.0678283927985494,"negative"
"LOC100129534",1.69912985354193,0.159436338274924,0.0851731311599163,-0.108640531681319,"negative"
"RER1",1.08345513744948,0.371068434035179,0.0560404299048854,0.0866017469493209,"positive"
"PEX10",0.18562241246395,0.945179651782684,0.0100686816160031,0.0283375883997393,"positive"
"PLCH2",1.40867824141287,0.239622412772488,0.0716568135514501,0.138460246179773,"positive"
"PANK4",4.85506404435249,0.00158047941638033,0.210129867419225,0.0920796168573675,"positive"
"HES5",0.36186836833791,0.834971773646387,0.0194428824219234,-0.0499449020105116,"negative"
"TNFRSF14-AS1",1.79999538837904,0.138051959005791,0.0897753517400963,0.143399530122824,"positive"
"TNFRSF14",0.270129707101739,0.896301497916247,0.0145857351635153,0.0518384889742598,"positive"
"LOC100996583",0.515331946015297,0.724658981336477,0.0274619147424528,0.0028896833810528,"positive"
"PRXL2B",6.63171888512043,0.000130916163406282,0.266529772952554,0.0945136398416333,"positive"
"MMEL1",5.03785068725706,0.00121637510808022,0.216329568362173,0.0250742018507081,"positive"
"MMEL1-AS1",1.61272922577706,0.180202469638838,0.0811937376503186,0.071366791843858,"positive"
"TTC34",1.56865468806938,0.191745115466476,0.0791504122130801,0.0343111690110334,"positive"
"LOC105378598",0.470027583018149,0.757540716695956,0.0251082740628296,0.0148606375858045,"positive"
"PRDM16-DT",1.11411660297444,0.356488211640128,0.0575351112481579,-0.00964283043857734,"negative"
"PRDM16",0.809583186949903,0.523072926819834,0.0424764371292351,-0.0535247866968294,"negative"
"LOC105378606",1.50724071927272,0.208975339040266,0.0762880171724811,-0.109531410320556,"negative"
"LOC107984909",0.457234277399449,0.766819163504837,0.0244415754151239,-0.00545537735466272,"negative"
"LOC105378605",2.20182121178486,0.0771231092514744,0.107658931152601,-0.0861768359499466,"negative"
"LOC105378604",1.66805911561319,0.166630635056361,0.0837460671208494,-0.101678733584252,"negative"
"ARHGEF16",6.3175677133452,0.000201522795353708,0.257150719479384,0.0389906959249381,"positive"
"MEGF6",0.932845194600544,0.449807484283558,0.048629136352678,-0.00797073230890438,"negative"
"LOC105378608",0.320602786747878,0.863315359019471,0.0172639946279322,-0.0154952164549722,"negative"
"TPRG1L",2.79905022701112,0.0320285445249391,0.132977507147531,0.13838355173461,"positive"
"WRAP73",0.744879493143849,0.564555084752511,0.0392147522395555,0.0342917535502272,"positive"
"TP73",0.156600915905247,0.959417831137236,0.00850786718420821,-0.0118237585725794,"negative"
"TP73-AS3",5.2160906644006,0.000943371950461229,0.222282046847868,0.0915761524525529,"positive"
"TP73-AS1",6.00837639558431,0.000309309405381652,0.247682544684977,0.0243065971856239,"positive"
"CCDC27",0.802000904322716,0.527830672734218,0.0420953635447681,-0.0284776791344594,"negative"
"SMIM1",1.19661480613577,0.319618770348338,0.0615333217665327,-0.0937800457684775,"negative"
"LRRC47",3.9596179722103,0.00579205168495516,0.178283929834577,0.0319193771538232,"positive"
"CEP104",1.66569454221931,0.167190466976816,0.0836372810743911,0.0549852878221323,"positive"
"DFFB",1.71000003438834,0.1569892741923,0.0856713442606337,-0.0762210058780616,"negative"
"C1orf174",1.03024079147413,0.397528306338305,0.0534350583385717,0.0880991835994231,"positive"
"LINC01134",0.930366751045388,0.451203077817668,0.0485062023641795,0.0427804090381016,"positive"
"LOC105376674",0.724112162636536,0.57827699466933,0.0381631644437332,-0.0444155370662962,"negative"
"AJAP1",0.249414988622589,0.909132466006806,0.0134823176179346,-0.133566148186451,"negative"
"LOC107984911",0.281314398254469,0.8891869516626,0.0151804881299174,-0.0735707280435356,"negative"
"MIR4689",0.254754287697959,0.905870738248558,0.0137669640859442,-0.0107486588355838,"negative"
"NPHP4",0.906669715122657,0.464709471028665,0.047329192840179,-0.196121022217089,"negative"
"KCNAB2",1.42524932291217,0.23419931405828,0.0724386918570046,0.15880228235518,"positive"
"CHD5",1.11678412254623,0.355242509770029,0.0576649233801344,-0.115657839252367,"negative"
"RPL22",1.13327551876357,0.3476215224294,0.0584666671877274,0.00991874274465562,"positive"
"RNF207-AS1",0.193663395315461,0.940970713581695,0.0105002672822933,0.0315868787272822,"positive"
