"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"MIR4689",1.08303065179486,0.357215945411837,0.0150945675350771,-0.0107234336888481,"negative"
"NPHP4",2.83045455880558,0.039390124701465,0.0385110941981306,0.0809851089937576,"positive"
"KCNAB2",10.8746842830778,1.1284595008565e-06,0.133364043597709,0.515873602373077,"positive"
"CHD5",2.51400688406107,0.0594281104708014,0.034353426418225,-0.0260433796716229,"negative"
"RPL22",4.97345680193558,0.00234968784663826,0.0657515690597733,-0.190384882261319,"negative"
"RNF207-AS1",0.208742546217819,0.890276168624329,0.00294520410585329,-0.0144751798219154,"negative"
"RNF207",4.77937811106463,0.00303513959434981,0.0633482924803411,0.219643532524197,"positive"
"ICMT",3.13999224463737,0.0262846194212715,0.0425434817258265,0.143378864618798,"positive"
"ICMT-DT",1.09998016927796,0.350125139829354,0.0153271779827259,0.123107756111464,"positive"
"GPR153",0.900634676764575,0.441734320534554,0.0125844437314002,0.217002112865384,"positive"
"ACOT7",0.338419526261139,0.797569613896167,0.00476613077183823,0.0517629785880142,"positive"
"HES2",7.12632410695326,0.000139170920575514,0.0916062493045304,0.140020809308743,"positive"
"ESPN",2.08441831701481,0.103296786206188,0.0286513708693467,0.0920046739772496,"positive"
"TNFRSF25",4.20145146079215,0.00650547879529319,0.0561180321594221,0.183185949818438,"positive"
"PLEKHG5",3.08459584392144,0.0282618613461006,0.0418243124106329,0.0716521829895088,"positive"
"NOL9",0.858633484474574,0.463410962006174,0.0120046121115211,0.0163968354399101,"positive"
"TAS1R1",0.109444883227178,0.95451377069649,0.00154635343522686,-0.0245321306996029,"negative"
"LOC107984912",0.846329865993809,0.469922276176816,0.0118346301655432,0.0144992079646131,"positive"
"ZBTB48",0.657263615394453,0.579222651799247,0.00921519064913004,-0.0454160657654453,"negative"
"KLHL21",1.53381945364182,0.206745448091761,0.0212438937195796,0.00573227251914245,"positive"
"LOC107984913",1.11674594991012,0.343233482625224,0.01555715880875,0.00536420992434425,"positive"
"PHF13",1.09507792581913,0.35216314861128,0.0152599122560044,-0.011033801592974,"negative"
"THAP3",0.847738040996934,0.469173320409439,0.0118540879206408,0.0251304157977138,"positive"
"DNAJC11",1.71915181265644,0.164079206613899,0.0237498428390018,0.145551743018479,"positive"
"CAMTA1-DT",1.14122966662992,0.333384947187937,0.0158928157612764,-0.100975492693758,"negative"
"CAMTA1",3.40520160832712,0.0185618840442757,0.0459715906676638,-0.190638892971848,"negative"
"CAMTA1-AS1",0.903179287516383,0.440448317223975,0.0126195505310235,0.0307670102777317,"positive"
"LOC105376689",1.54888985989118,0.202918615315313,0.0214481468313764,0.108586561511817,"positive"
"VAMP3",2.04057306939793,0.109242302015674,0.0280656104784811,-0.100910285961927,"negative"
